$West Boylston inflow constituents, , , , , 
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,UV254,PO4,NH4,NO3
1,839.809090909091,0.0543866666666667,0.00777333333333333,0.0213133333333333,1.264
10,859.2,0.0634466666666667,0.00879333333333333,0.0212533333333333,1.156
18,573.531428571429,0.0715,0.0097,0.0212,1.06
24,359.28,0.0710333333333333,0.00988888888888889,0.0188,1.08888888888889
36,567.6,0.0701,0.0102666666666667,0.014,1.14666666666667
45,574.44,0.0694,0.01055,0.0104,1.19
51,579,0.0659542857142857,0.0103442857142857,0.01184,1.22771428571429
64,790.8,0.0584885714285714,0.00989857142857143,0.01496,1.30942857142857
78,858.6,0.0504485714285714,0.00941857142857143,0.01832,1.39742857142857
80,782.228571428572,0.0493,0.00935,0.0188,1.41
92,324,0.0540294117647059,0.00910294117647059,0.0167176470588235,1.31823529411765
109,612,0.0607294117647059,0.00875294117647059,0.0137676470588235,1.18823529411765
114,655.333333333333,0.0627,0.00865,0.0129,1.15
127,768,0.0614,0.00876304347826087,0.0183826086956522,1.18391304347826
137,931.875,0.0604,0.00885,0.0226,1.21
143,1030.2,0.0585314285714286,0.00888428571428571,0.0247428571428571,1.23914285714286
158,1145.4,0.05386,0.00897,0.0301,1.312
171,1226.4,0.0498114285714286,0.00904428571428571,0.0347428571428571,1.37514285714286
172,1221.87692307692,0.0495,0.00905,0.0351,1.38
184,1167.6,0.0472384615384615,0.00817307692307692,0.0309923076923077,1.37538461538462
198,972.72,0.0446,0.00715,0.0262,1.37
199,958.8,0.0520285714285714,0.00776071428571429,0.0256107142857143,1.33178571428571
218,1179.6,0.193171428571429,0.0193642857142857,0.0144142857142857,0.605714285714286
226,1086.8,0.2526,0.02425,0.0097,0.3
239,936,0.208740476190476,0.0331488095238095,0.0331309523809524,0.490666666666667
253,1026.6,0.161507142857143,0.0427321428571429,0.0583642857142857,0.696
267,883.2,0.11427380952381,0.0523154761904762,0.083597619047619,0.901333333333333
268,869.85,0.1109,0.053,0.0854,0.916
283,669.6,0.122257142857143,0.02475,0.0292571428571429,0.858142857142857
289,669.6,0.1268,0.01345,0.0068,0.835
297,669.6,0.1252,0.0148442857142857,0.0185714285714286,0.831571428571429
311,359.7,0.1224,0.0172842857142857,0.0391714285714286,0.825571428571429
323,865.2,0.12,0.0193757142857143,0.0568285714285714,0.820428571428571
324,831.66,0.1198,0.01955,0.0583,0.82
337,395.64,0.0965392857142857,0.0155803571428571,0.0388,0.991785714285714
351,407.04,0.0714892857142857,0.0113053571428571,0.0178,1.17678571428571
352,464.7,0.0697,0.011,0.0163,1.19
365,429.06375,0.0620793103448276,0.0103051724137931,0.017151724137931,1.30206896551724
