Upper,Lower,Layer
120.7,120.2,2
120.2,119.7,3
119.7,119.2,4
119.2,118.7,5
118.7,118.2,6
118.2,117.7,7
117.7,117.2,8
117.2,116.7,9
116.7,116.2,10
116.2,115.7,11
115.7,115.2,12
115.2,114.7,13
114.7,114.2,14
114.2,113.7,15
113.7,113.2,16
113.2,112.7,17
112.7,112.2,18
112.2,111.7,19
111.7,111.2,20
111.2,110.7,21
110.7,110.2,22
110.2,109.7,23
109.7,109.2,24
109.2,108.7,25
108.7,108.2,26
108.2,107.7,27
107.7,107.2,28
107.2,106.7,29
106.7,106.2,30
106.2,105.7,31
105.7,104.95,32
104.95,104.2,33
104.2,102.7,34
102.7,101.2,35
101.2,99.7,36
99.7,98.2,37
98.2,96.7,38
96.7,95.2,39
95.2,93.7,40
93.7,92.2,41
92.2,90.7,42
90.7,89.2,43
89.2,87.7,44
87.7,86.2,45
