$Weekly temp data for Gates, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,4.02272727272727
10,3
14,3.25714285714286
18,3.51428571428571
24,3.9
36,3.8
45,6.02
51,7.5
64,5.5
78,3.6
80,3.68571428571429
92,4.2
109,5.9
114,8.31666666666667
127,14.6
137,15.1625
143,15.5
158,14
171,15.8
172,16.0307692307692
184,18.8
198,19.4533333333333
199,19.5
218,19
226,18.9238095238095
239,18.8
253,13.4
261,13.1714285714286
262,13.1428571428571
267,13
268,13.23125
282,16.46875
283,16.7
289,13.6571428571429
297,9.6
298,9.68571428571429
311,10.8
323,5.7
324,5.86428571428571
337,8
351,5.4
352,3.6
365,4.7375
