$Weekly temp data for French, 
FROM: Trib WQ, R (DCR), 
JDAY,TEMP (C)
1,0.859090909090909
10,0
18,0.114285714285714
24,0.2
36,0.4
45,2.98
51,4.7
64,4.3
78,4.5
80,4.9
92,7.3
109,6
114,9.13888888888889
127,17.3
137,19.925
143,21.5
158,18.9
171,22.3
172,22.6692307692308
184,27.1
198,23.6466666666667
199,23.4
218,25
219,24.9238095238095
226,24.3904761904762
239,23.4
240,22.8714285714286
253,16
267,14.2
268,14.40625
283,17.5
287,14.7285714285714
297,7.8
311,9.1
323,3
324,3.14285714285714
337,5
351,1.7
352,0.4
365,1.13125
