$Combined Quinapoxet, Quabbin, Trout water quality (Dan Crocker -> Quinapoxet_Quabbin_Trout), , , , , 
FROM: Trib WQ, R (DCR), , , , , ,
JDAY,TDS,UV254,PO4,NH4,NO3,,
1,51.06875061,0.012475994,0.000305997,0.000269238,0.004276002,,
2,50.38346829,0,0,0,0,,
3,62.88910785,0,0,0,0,,
4,145.9727637,0,0,0,0,,
5,134.402859,0,0,0,0,,
6,146.0510052,0,0,0,0,,
7,146.6178089,0,0,0,0,,
8,143.4908318,0,0,0,0,,
9,144.0576355,0,0,0,0,,
10,144.6244392,0,0,0,0,,
11,152.3443099,0,0,0,0,,
12,180.1161336,0,0,0,0,,
13,101.2959963,0,0,0,0,,
14,102.7213629,0,0,0,0,,
15,104.1467296,0,0,0,0,,
16,105.5720962,0,0,0,0,,
17,106.9974628,0,0,0,0,,
18,108.4228294,0,0,0,0,,
19,109.848196,0,0,0,0,,
20,111.2735627,0,0,0,0,,
21,112.6989293,0,0,0,0,,
22,114.1242959,0,0,0,0,,
23,115.5496625,0,0,0,0,,
24,116.9750292,0,0,0,0,,
25,118.6753509,0,0,0,0,,
26,120.3756727,0,0,0,0,,
27,122.0759945,0,0,0,0,,
28,122.6832586,0,0,0,0,,
29,120.124425,0,0,0,0,,
30,118.6209572,0,0,0,0,,
31,118.1728554,0,0,0,0,,
32,119.3078026,0,0,0,0,,
33,120.4427497,0,0,0,0,,
34,124.7437947,0,0,0,0,,
35,129.0448397,0,0,0,0,,
36,135.9842996,0,0,0,0,,
37,131.1581261,0,0,0,0,,
38,125.8042696,0,0,0,0,,
39,125.1995599,0,0,0,0,,
40,126.1778991,0,0,0,0,,
41,127.6839213,0,0,0,0,,
42,152.4079944,0,0,0,0,,
43,122.780721,0,0,0,0,,
44,127.9805241,0,0,0,0,,
45,124.7373995,0,0,0,0,,
46,120.9665919,0,0,0,0,,
47,118.2511503,0,0,0,0,,
48,114.4803427,0,0,0,0,,
49,112.820267,0,0,0,0,,
50,116.4370211,0,0,0,0,,
51,117.4153603,0,0,0,0,,
52,107.8726283,0,0,0,0,,
53,102.023677,0,0,0,0,,
54,105.6730194,0,0,0,0,,
55,106.6839468,0,0,0,0,,
56,106.6395083,0,0,0,0,,
57,106.0673868,0,0,0,0,,
58,108.1336802,0,0,0,0,,
59,110.1999736,0,0,0,0,,
60,112.79395,0,0,0,0,,
61,111.6941456,0,0,0,0,,
62,105.3175113,0,0,0,0,,
63,112.6606345,0,0,0,0,,
64,114.1992449,0,0,0,0,,
65,115.4996704,0,0,0,0,,
66,116.272413,0,0,0,0,,
67,117.0451555,0,0,0,0,,
68,117.2902151,0,0,0,0,,
69,117.5352746,0,0,0,0,,
70,118.3080172,0,0,0,0,,
71,118.5530767,0,0,0,0,,
72,120.3811852,0,0,0,0,,
73,121.6816107,0,0,0,0,,
74,121.9266703,0,0,0,0,,
75,122.1717298,0,0,0,0,,
76,122.4167894,0,0,0,0,,
77,123.1895319,0,0,0,0,,
78,123.9622745,0,0,0,0,,
79,125.5586192,0,0,0,0,,
80,126.627281,0,0,0,0,,
81,128.2236258,0,0,0,0,,
82,130.3476535,0,0,0,0,,
83,132.4716813,0,0,0,0,,
84,134.595709,0,0,0,0,,
85,136.1920538,0,0,0,0,,
86,137.7883985,0,0,0,0,,
87,140.9677922,0,0,0,0,,
88,145.2025519,0,0,0,0,,
89,142.0497499,0,0,0,0,,
90,136.258533,0,0,0,0,,
91,139.4379267,0,0,0,0,,
92,142.0896374,0,0,0,0,,
93,143.1795107,0,0,0,0,,
94,143.7417011,0,0,0,0,,
95,140.6101106,0,0,0,0,,
96,138.0062031,0,0,0,0,,
97,135.9299785,0,0,0,0,,
98,133.853754,0,0,0,0,,
99,134.9436273,0,0,0,0,,
100,136.0335006,0,0,0,0,,
101,135.540325,0,0,0,0,,
102,136.1025154,0,0,0,0,,
103,136.6647057,0,0,0,0,,
104,137.2268961,0,0,0,0,,
105,137.7890864,0,0,0,0,,
106,132.546764,0,0,0,0,,
107,119.389197,0,0,0,0,,
108,123.1174852,0,0,0,0,,
109,123.1519926,0,0,0,0,,
110,124.3252566,0,0,0,0,,
111,127.0815695,0,0,0,0,,
112,129.3101995,0,0,0,0,,
113,131.5388295,0,0,0,0,,
114,133.2397765,0,0,0,0,,
115,133.8853575,0,0,0,0,,
116,130.3094748,0,0,0,0,,
117,129.8996899,0,0,0,0,,
118,128.962222,0,0,0,0,,
119,130.135486,0,0,0,0,,
120,130.781067,0,0,0,0,,
121,130.8989651,0,0,0,0,,
122,130.4891802,0,0,0,0,,
123,132.1901272,0,0,0,0,,
124,132.3080253,0,0,0,0,,
125,132.9536063,0,0,0,0,,
126,134.1268703,0,0,0,0,,
127,132.6617195,0,0,0,0,,
128,132.6720356,0,0,0,0,,
129,135.3207665,0,0,0,0,,
130,140.0802294,0,0,0,0,,
131,142.7289603,0,0,0,0,,
132,143.2669594,0,0,0,0,,
133,143.2772755,0,0,0,0,,
134,143.8152745,0,0,0,0,,
135,143.8255906,0,0,0,0,,
136,72.28453075,0,0,0,0,,
137,52.45261367,0,0,0,0,,
138,49.65106773,0,0,0,0,,
139,47.8798138,0,0,0,0,,
140,50.51954391,0,0,0,0,,
141,48.89646673,0,0,0,0,,
142,46.7096441,0,0,0,0,,
143,44.26064594,0,0,0,0,,
144,42.59804255,0,0,0,0,,
145,41.57799171,0,0,0,0,,
146,41.57141787,0,0,0,0,,
147,41.86618881,0,0,0,0,,
148,43.03950618,0,0,0,0,,
149,42.52588414,0,0,0,0,,
150,40.93971325,0,0,0,0,,
151,40.08229237,0,0,0,0,,
152,39.24877379,0,0,0,0,,
153,39.21330156,0,0,0,0,,
154,39.70535778,0,0,0,0,,
155,37.80933358,0,0,0,0,,
156,39.19992398,0,0,0,0,,
157,38.91653124,0,0,0,0,,
158,38.35607342,0,0,0,0,,
159,38.16905835,0,0,0,0,,
160,38.03580184,0,0,0,0,,
161,38.01123137,0,0,0,0,,
162,37.29106194,0,0,0,0,,
163,36.9674738,0,0,0,0,,
164,36.28336771,0,0,0,0,,
165,35.9933709,0,0,0,0,,
166,35.01080853,0,0,0,0,,
167,34.5207219,0,0,0,0,,
168,34.04459996,0,0,0,0,,
169,33.56301275,0,0,0,0,,
170,33.40416409,0,0,0,0,,
171,33.09684446,0,0,0,0,,
172,32.60127215,0,0,0,0,,
173,31.8998691,0,0,0,0,,
174,31.77151971,0,0,0,0,,
175,38.48648295,0,0,0,0,,
176,54.74024523,0,0,0,0,,
177,41.43150644,0,0,0,0,,
178,38.48401575,0,0,0,0,,
179,47.83070458,0,0,0,0,,
180,44.33077486,0,0,0,0,,
181,39.74357594,0,0,0,0,,
182,36.75235997,0,0,0,0,,
183,36.72477512,0,0,0,0,,
184,35.8357151,0,0,0,0,,
185,37.14063496,0,0,0,0,,
186,36.9658031,0,0,0,0,,
187,33.94107765,0,0,0,0,,
188,34.2100082,0,0,0,0,,
189,34.13745049,0,0,0,0,,
190,33.44924177,0,0,0,0,,
191,32.68373342,0,0,0,0,,
192,32.48361343,0,0,0,0,,
193,32.28609834,0,0,0,0,,
194,32.19536968,0,0,0,0,,
195,32.12162166,0,0,0,0,,
196,32.12288655,0,0,0,0,,
197,32.52322046,0,0,0,0,,
198,46.25469165,0,0,0,0,,
199,48.67657861,0,0,0,0,,
200,36.88574972,0,0,0,0,,
201,34.79542176,0,0,0,0,,
202,33.96054774,0,0,0,0,,
203,34.55358186,0,0,0,0,,
204,36.73546564,0,0,0,0,,
205,37.71148097,0,0,0,0,,
206,37.01012386,0,0,0,0,,
207,41.34104093,0,0,0,0,,
208,41.30892281,0,0,0,0,,
209,38.53521627,0,0,0,0,,
210,37.30982793,0,0,0,0,,
211,35.95549517,0,0,0,0,,
212,34.11035306,0,0,0,0,,
213,33.38877397,0,0,0,0,,
214,34.14626752,0,0,0,0,,
215,43.62124526,0,0,0,0,,
216,37.53617445,0,0,0,0,,
217,40.39701301,0,0,0,0,,
218,36.77708543,0,0,0,0,,
219,38.31952602,0,0,0,0,,
220,40.94685874,0,0,0,0,,
221,36.22993515,0,0,0,0,,
222,35.80517198,0,0,0,0,,
223,40.84305328,0,0,0,0,,
224,73.34859146,0,0,0,0,,
225,74.70129194,0,0,0,0,,
226,111.5232738,0,0,0,0,,
227,110.8439368,0,0,0,0,,
228,84.00953562,0,0,0,0,,
229,66.15384375,0,0,0,0,,
230,63.82831417,0,0,0,0,,
231,69.84724843,0,0,0,0,,
232,60.34003895,0,0,0,0,,
233,52.16039213,0,0,0,0,,
234,58.92938802,0,0,0,0,,
235,57.839176,0,0,0,0,,
236,47.49704564,0,0,0,0,,
237,42.84525211,0,0,0,0,,
238,39.84290409,0,0,0,0,,
239,37.49603514,0,0,0,0,,
240,35.94475098,0,0,0,0,,
241,35.00696916,0,0,0,0,,
242,34.36106175,0,0,0,0,,
243,34.10610871,0,0,0,0,,
244,33.65607727,0,0,0,0,,
245,33.52589187,0,0,0,0,,
246,33.39509243,0,0,0,0,,
247,33.16515787,0,0,0,0,,
248,32.97142181,0,0,0,0,,
249,33.57765667,0,0,0,0,,
250,35.2719691,0,0,0,0,,
251,35.00110824,0,0,0,0,,
252,34.10130258,0,0,0,0,,
253,34.08846776,0,0,0,0,,
254,43.38247912,0,0,0,0,,
255,43.83312798,0,0,0,0,,
256,44.16222509,0,0,0,0,,
257,44.34100372,0,0,0,0,,
258,43.07935401,0,0,0,0,,
259,40.51931087,0,0,0,0,,
260,38.93446596,0,0,0,0,,
261,88.18732464,0,0,0,0,,
262,99.5188902,0,0,0,0,,
263,75.6115157,0,0,0,0,,
264,63.03156758,0,0,0,0,,
265,52.14294082,0,0,0,0,,
266,45.94273061,0,0,0,0,,
267,42.83519206,0,0,0,0,,
268,46.77523122,0,0,0,0,,
269,64.72073742,0,0,0,0,,
270,54.80487288,0,0,0,0,,
271,58.36387572,0,0,0,0,,
272,80.57546571,0,0,0,0,,
273,103.8266755,0,0,0,0,,
274,129.1886171,0,0,0,0,,
275,123.4172632,0,0,0,0,,
276,74.17859196,0,0,0,0,,
277,58.56879938,0,0,0,0,,
278,49.37518449,0,0,0,0,,
279,52.41094192,0,0,0,0,,
280,48.04885133,0,0,0,0,,
281,45.47408517,0,0,0,0,,
282,44.4463224,0,0,0,0,,
283,44.25239509,0,0,0,0,,
284,52.30277066,0,0,0,0,,
285,76.95927119,0,0,0,0,,
286,62.61401588,0,0,0,0,,
287,56.27724171,0,0,0,0,,
288,52.48060006,0,0,0,0,,
289,52.95271904,0,0,0,0,,
290,50.706734,0,0,0,0,,
291,48.62348007,0,0,0,0,,
292,48.22106508,0,0,0,0,,
293,47.63424326,0,0,0,0,,
294,45.95251358,0,0,0,0,,
295,45.41949862,0,0,0,0,,
296,45.43900774,0,0,0,0,,
297,46.44140875,0,0,0,0,,
298,45.9276668,0,0,0,0,,
299,44.80194803,0,0,0,0,,
300,66.12194732,0,0,0,0,,
301,110.727276,0,0,0,0,,
302,106.7404342,0,0,0,0,,
303,112.2518861,0,0,0,0,,
304,118.8187038,0,0,0,0,,
305,124.3301556,0,0,0,0,,
306,125.0924607,0,0,0,0,,
307,119.8743587,0,0,0,0,,
308,114.6562566,0,0,0,0,,
309,109.4381546,0,0,0,0,,
