$Gates 1  inflow constituents, , , , , ,
FROM: Trib WQ, R (DCR), , , , , 
JDAY,TDS,,,,,
1,405,,,,,
2,444,,,,,
3,439.2,,,,,
4,383.4,,,,,
5,439.8,,,,,
6,497.4,,,,,
7,531.6,,,,,
8,540,,,,,
9,540,,,,,
10,513,,,,,
11,642,,,,,
12,798,,,,,
13,481.2,,,,,
14,573,,,,,
15,555.6,,,,,
16,526.2,,,,,
17,834,,,,,
18,804,,,,,
19,577.8,,,,,
20,544.2,,,,,
21,526.2,,,,,
22,600,,,,,
23,1074,,,,,
24,972,,,,,
25,1254,,,,,
26,1230,,,,,
27,1182,,,,,
28,1182,,,,,
29,1080,,,,,
30,1152,,,,,
31,1176,,,,,
32,1188,,,,,
33,1956,,,,,
34,1482,,,,,
35,1374,,,,,
36,1434,,,,,
37,1194,,,,,
38,1410,,,,,
39,2802,,,,,
40,2094,,,,,
41,1722,,,,,
42,1038,,,,,
43,443.4,,,,,
44,373.2,,,,,
45,595.2,,,,,
46,648,,,,,
47,570.6,,,,,
48,564,,,,,
49,900,,,,,
50,756,,,,,
51,479.4,,,,,
52,415.2,,,,,
53,450.6,,,,,
54,564.6,,,,,
55,452.4,,,,,
56,702,,,,,
57,489,,,,,
58,483.6,,,,,
59,496.2,,,,,
60,481.2,,,,,
61,448.2,,,,,
62,271.2,,,,,
63,307.2,,,,,
64,436.2,,,,,
65,357,,,,,
66,405.6,,,,,
67,642,,,,,
68,493.8,,,,,
69,393,,,,,
70,448.2,,,,,
71,410.4,,,,,
72,466.8,,,,,
73,720,,,,,
74,714,,,,,
75,780,,,,,
76,894,,,,,
77,876,,,,,
78,906,,,,,
79,900,,,,,
80,924,,,,,
81,894.6666667,,,,,
82,865.3333333,,,,,
83,836,,,,,
84,806.6666667,,,,,
85,777.3333333,,,,,
86,748,,,,,
87,718.6666667,,,,,
88,689.3333333,,,,,
89,660,,,,,
90,678,,,,,
91,708,,,,,
92,870,,,,,
93,792,,,,,
94,714,,,,,
95,690,,,,,
96,756,,,,,
97,750,,,,,
98,744,,,,,
99,738,,,,,
100,732,,,,,
101,726,,,,,
102,720,,,,,
103,720,,,,,
104,732,,,,,
105,708,,,,,
106,1440,,,,,
107,672,,,,,
108,493.2,,,,,
109,541.2,,,,,
110,479.4,,,,,
111,508.8,,,,,
112,552.6,,,,,
113,585.3,,,,,
114,618,,,,,
115,798,,,,,
116,672,,,,,
117,720,,,,,
118,660,,,,,
119,678,,,,,
120,696,,,,,
121,672,,,,,
122,708,,,,,
123,738,,,,,
124,750,,,,,
125,780,,,,,
126,738,,,,,
127,708,,,,,
128,768,,,,,
129,780,,,,,
130,780,,,,,
131,780,,,,,
132,762,,,,,
133,732,,,,,
134,768,,,,,
135,762,,,,,
136,690,,,,,
137,744,,,,,
138,768,,,,,
139,756,,,,,
140,732,,,,,
141,762,,,,,
142,768,,,,,
143,792,,,,,
144,798,,,,,
145,810,,,,,
146,828,,,,,
147,804,,,,,
148,750,,,,,
149,792,,,,,
150,822,,,,,
151,816,,,,,
152,828,,,,,
153,828,,,,,
154,834,,,,,
155,726,,,,,
156,732,,,,,
157,750,,,,,
158,792,,,,,
159,810,,,,,
160,828,,,,,
161,840,,,,,
162,846,,,,,
163,846,,,,,
164,852,,,,,
165,846,,,,,
166,852,,,,,
167,858,,,,,
168,852,,,,,
169,846,,,,,
170,708,,,,,
171,828,,,,,
172,840,,,,,
173,836.5,,,,,
174,833,,,,,
175,829.5,,,,,
176,826,,,,,
177,822.5,,,,,
178,819,,,,,
179,815.5,,,,,
180,812,,,,,
181,808.5,,,,,
182,805,,,,,
183,801.5,,,,,
184,798,,,,,
185,810,,,,,
186,822,,,,,
187,744,,,,,
188,780,,,,,
189,828,,,,,
190,834,,,,,
191,840,,,,,
192,840,,,,,
193,840,,,,,
194,864,,,,,
195,828,,,,,
196,792,,,,,
197,792,,,,,
198,792.6666667,,,,,
199,793.3333333,,,,,
200,794,,,,,
201,794.6666667,,,,,
202,795.3333333,,,,,
203,796,,,,,
204,796.6666667,,,,,
205,797.3333333,,,,,
206,798,,,,,
207,798.6666667,,,,,
208,799.3333333,,,,,
209,800,,,,,
210,800.6666667,,,,,
211,801.3333333,,,,,
212,802,,,,,
213,802.6666667,,,,,
214,803.3333333,,,,,
215,804,,,,,
216,765.975,,,,,
217,727.95,,,,,
218,689.925,,,,,
219,651.9,,,,,
220,613.875,,,,,
221,575.85,,,,,
222,537.825,,,,,
223,499.8,,,,,
224,400.2,,,,,
225,463.2,,,,,
226,366,,,,,
227,490.2,,,,,
228,606,,,,,
229,672,,,,,
230,471.6,,,,,
231,590.4,,,,,
232,672,,,,,
233,708,,,,,
234,586.2,,,,,
235,702,,,,,
236,732,,,,,
237,756,,,,,
238,768,,,,,
239,786,,,,,
240,792,,,,,
241,798,,,,,
242,804,,,,,
243,816,,,,,
244,822,,,,,
245,816,,,,,
246,822,,,,,
247,828,,,,,
248,822,,,,,
249,726,,,,,
250,768,,,,,
251,810,,,,,
252,822,,,,,
253,714,,,,,
254,514.2,,,,,
255,543.6,,,,,
256,558,,,,,
257,678,,,,,
258,720,,,,,
259,750,,,,,
260,768,,,,,
261,476.4,,,,,
262,559.2,,,,,
263,642,,,,,
264,678,,,,,
265,672,,,,,
266,708,,,,,
267,726,,,,,
268,517.2,,,,,
269,451.2,,,,,
270,453,,,,,
271,523.2,,,,,
272,606,,,,,
273,642,,,,,
274,660,,,,,
275,525.6,,,,,
276,486,,,,,
277,584.4,,,,,
278,630,,,,,
279,654,,,,,
280,630,,,,,
281,654,,,,,
282,672,,,,,
283,684,,,,,
284,546.6,,,,,
285,472.8,,,,,
286,546.6,,,,,
287,599.4,,,,,
288,624,,,,,
289,600,,,,,
290,642,,,,,
291,660,,,,,
292,672,,,,,
293,678,,,,,
294,690,,,,,
295,696,,,,,
296,666,,,,,
297,660,,,,,
298,696,,,,,
299,702,,,,,
300,510.6,,,,,
301,556.8,,,,,
302,528.6,,,,,
303,600,,,,,
304,624,,,,,
305,624,,,,,
306,510.6,,,,,
307,240,,,,,
308,406.2,,,,,
309,488.4,,,,,
