                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.000,   1,  0.37501614E+03,   0.00000000E+00,  -0.37442448E+04,  -0.58343802E+02,   0.00000000E+00,   0.00000000E+00,   0.30497198E+04,   0.00000000E+00,  -0.72492734E-08,
     1.996,   1,  0.69497103E+05,   0.00000000E+00,  -0.70318260E+06,  -0.11644049E+05,   0.00000000E+00,   0.00000000E+00,   0.57572943E+06,   0.00000000E+00,   0.12856883E-09,
     2.996,   1,  0.13824181E+06,   0.00000000E+00,  -0.14062210E+07,  -0.23259294E+05,   0.00000000E+00,   0.00000000E+00,   0.10505041E+07,   0.00000000E+00,   0.23571044E-10,
     3.996,   1,  0.21319814E+06,   0.00000000E+00,  -0.21021114E+07,  -0.34829738E+05,   0.00000000E+00,  -0.17325581E+05,   0.13173678E+07,   0.00000000E+00,   0.37010447E-10,
     4.996,   1,  0.29843616E+06,   0.41573936E+06,  -0.28131144E+07,  -0.47696549E+05,   0.00000000E+00,  -0.52173581E+05,   0.14814745E+07,   0.00000000E+00,   0.94891296E-10,
     5.996,   1,  0.39090190E+06,   0.41573936E+06,  -0.35418246E+07,  -0.59980308E+05,   0.00000000E+00,  -0.58680451E+05,   0.16566249E+07,   0.00000000E+00,   0.12419105E-09,
     6.996,   1,  0.48765113E+06,   0.41573936E+06,  -0.42764326E+07,  -0.71386691E+05,   0.00000000E+00,  -0.14052563E+05,   0.18392452E+07,   0.00000000E+00,   0.16112798E-09,
     7.996,   1,  0.58296521E+06,   0.41573936E+06,  -0.50305446E+07,  -0.83345859E+05,   0.00000000E+00,   0.69082971E+05,   0.20219944E+07,   0.00000000E+00,   0.25705258E-09,
     8.996,   1,  0.67106258E+06,   0.42367331E+06,  -0.57691857E+07,  -0.95583352E+05,   0.00000000E+00,   0.13979450E+06,   0.21971651E+07,   0.00000000E+00,   0.31544815E-09,
     9.996,   1,  0.75279192E+06,   0.42367331E+06,  -0.64948453E+07,  -0.10816679E+06,   0.00000000E+00,   0.17138999E+06,   0.23615556E+07,   0.00000000E+00,   0.42790068E-09,
    10.996,   1,  0.83388441E+06,   0.42367331E+06,  -0.72187207E+07,  -0.12036330E+06,   0.00000000E+00,   0.16093005E+06,   0.25290796E+07,   0.00000000E+00,   0.54095551E-09,
    11.996,   1,  0.95735828E+06,   0.42367331E+06,  -0.79428524E+07,  -0.13215954E+06,   0.00000000E+00,   0.12919765E+06,   0.28188350E+07,   0.00000000E+00,   0.58407137E-09,
    12.996,   1,  0.16510931E+07,   0.70929577E+06,  -0.86573175E+07,  -0.14423841E+06,   0.00000000E+00,   0.10868154E+05,   0.41386013E+07,   0.00000000E+00,   0.11132963E-08,
    14.000,   1,  0.27487881E+07,   0.83465230E+06,  -0.93609356E+07,  -0.15627451E+06,  -0.15689725E+05,  -0.33188961E+06,   0.59221837E+07,   0.00000000E+00,   0.70696187E-08,
    14.999,   1,  0.35639693E+07,   0.83465230E+06,  -0.10079282E+08,  -0.16822116E+06,  -0.54481658E+05,  -0.89894525E+06,   0.69877707E+07,   0.00000000E+00,  -0.13586859E-07,
    15.999,   1,  0.40856473E+07,   0.83465230E+06,  -0.10805976E+08,  -0.18023781E+06,  -0.87200927E+05,  -0.14612389E+07,   0.76513396E+07,   0.00000000E+00,  -0.68092272E-07,
    16.996,   1,  0.43761654E+07,   0.83465230E+06,  -0.11511728E+08,  -0.19221139E+06,  -0.10594420E+06,  -0.17781741E+07,   0.80952034E+07,   0.00000000E+00,   0.88409889E-08,
    18.000,   1,  0.45639886E+07,   0.95622780E+06,  -0.12198992E+08,  -0.24863000E+06,  -0.11201394E+06,  -0.18654690E+07,   0.84416812E+07,   0.00000000E+00,   0.53970880E-08,
    19.000,   1,  0.47306319E+07,   0.95622780E+06,  -0.12893381E+08,  -0.44871677E+06,  -0.13426233E+06,  -0.18676202E+07,   0.87488936E+07,   0.00000000E+00,   0.27483203E-08,
    19.999,   1,  0.48831962E+07,   0.95622780E+06,  -0.13576676E+08,  -0.79255464E+06,  -0.15570724E+06,  -0.18573008E+07,   0.90322532E+07,   0.00000000E+00,   0.16538937E-08,
    20.999,   1,  0.50245000E+07,   0.95622780E+06,  -0.14263037E+08,  -0.11813075E+07,  -0.18127637E+06,  -0.17900290E+07,   0.92992916E+07,   0.00000000E+00,   0.11843584E-08,
    21.999,   1,  0.51582129E+07,   0.95622780E+06,  -0.14952018E+08,  -0.15701538E+07,  -0.18999155E+06,  -0.16728359E+07,   0.95568594E+07,   0.00000000E+00,   0.94586822E-09,
    22.999,   1,  0.53128703E+07,   0.10244598E+07,  -0.15642241E+08,  -0.19584657E+07,  -0.19422059E+06,  -0.15284777E+07,   0.98731797E+07,   0.00000000E+00,   0.83599143E-09,
    24.000,   1,  0.55754971E+07,   0.13799011E+07,  -0.16334924E+08,  -0.23466766E+07,  -0.19804524E+06,  -0.14065248E+07,   0.10372356E+08,   0.00000000E+00,   0.89127652E-09,
    24.999,   1,  0.58875447E+07,   0.13799011E+07,  -0.17021016E+08,  -0.27351991E+07,  -0.21506726E+06,  -0.13323483E+07,   0.10924126E+08,   0.00000000E+00,   0.84885103E-09,
    25.999,   1,  0.61264503E+07,   0.13799011E+07,  -0.17702033E+08,  -0.31236592E+07,  -0.25987853E+06,  -0.12846167E+07,   0.11342693E+08,   0.00000000E+00,   0.76166649E-09,
    26.998,   1,  0.63055993E+07,   0.13799011E+07,  -0.18380718E+08,  -0.35121210E+07,  -0.30168569E+06,  -0.12370104E+07,   0.11672733E+08,   0.00000000E+00,   0.66656449E-09,
    27.999,   1,  0.64763262E+07,   0.13799011E+07,  -0.19060595E+08,  -0.39007113E+07,  -0.32236269E+06,  -0.11419105E+07,   0.12002624E+08,   0.00000000E+00,   0.60346003E-09,
    29.000,   1,  0.66581164E+07,   0.14401992E+07,  -0.19739120E+08,  -0.42893189E+07,  -0.32344908E+06,  -0.10044497E+07,   0.12354216E+08,   0.00000000E+00,   0.57661188E-09,
    30.000,   1,  0.68227044E+07,   0.14401992E+07,  -0.20419134E+08,  -0.46778718E+07,  -0.33395185E+06,  -0.84305618E+06,   0.12677534E+08,   0.00000000E+00,   0.53504214E-09,
    30.999,   1,  0.69646321E+07,   0.14608275E+07,  -0.21105613E+08,  -0.50661792E+07,  -0.35840606E+06,  -0.69725051E+06,   0.12958709E+08,   0.00000000E+00,   0.48798712E-09,
    31.996,   1,  0.70920007E+07,   0.14608275E+07,  -0.21789690E+08,  -0.54545002E+07,  -0.39226723E+06,  -0.60425978E+06,   0.13214084E+08,   0.00000000E+00,   0.43642921E-09,
    32.996,   1,  0.72211426E+07,   0.15179520E+07,  -0.22465328E+08,  -0.58427699E+07,  -0.41134472E+06,  -0.56956990E+06,   0.13474833E+08,   0.00000000E+00,   0.38809259E-09,
    33.999,   1,  0.73677854E+07,   0.15909444E+07,  -0.23137253E+08,  -0.62312132E+07,  -0.44496864E+06,  -0.55361932E+06,   0.13740678E+08,   0.00000000E+00,   0.36012092E-09,
    34.998,   1,  0.75024361E+07,   0.15909444E+07,  -0.23810080E+08,  -0.66200857E+07,  -0.46477800E+06,  -0.49027064E+06,   0.13983676E+08,   0.00000000E+00,   0.33055067E-09,
    35.998,   1,  0.76669288E+07,   0.17877065E+07,  -0.24488242E+08,  -0.70088457E+07,  -0.47015881E+06,  -0.38975864E+06,   0.14310537E+08,   0.00000000E+00,   0.32290533E-09,
    37.000,   1,  0.78632141E+07,   0.18400706E+07,  -0.25168670E+08,  -0.73449904E+07,  -0.47557574E+06,  -0.29972182E+06,   0.14700007E+08,   0.00000000E+00,   0.31305114E-09,
    37.996,   1,  0.80229467E+07,   0.18480046E+07,  -0.25834457E+08,  -0.75286369E+07,  -0.48252682E+06,  -0.25173379E+06,   0.15025693E+08,   0.00000000E+00,   0.31491286E-09,
    38.996,   1,  0.81760510E+07,   0.21542553E+07,  -0.26498320E+08,  -0.75757089E+07,  -0.48600562E+06,  -0.22242528E+06,   0.15338709E+08,   0.00000000E+00,   0.32723597E-09,
    39.996,   1,  0.83349739E+07,   0.21542553E+07,  -0.27170112E+08,  -0.75870926E+07,  -0.49059684E+06,  -0.17205801E+06,   0.15645908E+08,   0.00000000E+00,   0.32117405E-09,
    40.996,   1,  0.84771916E+07,   0.21542553E+07,  -0.27822056E+08,  -0.75982602E+07,  -0.49548038E+06,  -0.11917930E+06,   0.15929997E+08,   0.00000000E+00,   0.33063825E-09,
    41.996,   1,  0.87772784E+07,   0.23319760E+07,  -0.28473833E+08,  -0.76098883E+07,  -0.49688453E+06,  -0.12166837E+06,   0.16587059E+08,   0.00000000E+00,   0.35752629E-09,
    42.996,   1,  0.94797151E+07,   0.26747197E+07,  -0.29131013E+08,  -0.76217582E+07,  -0.49688993E+06,  -0.18512876E+06,   0.17964993E+08,   0.00000000E+00,   0.43912744E-09,
    43.996,   1,  0.10184012E+08,   0.26794801E+07,  -0.29795336E+08,  -0.76330442E+07,  -0.49869741E+06,  -0.26445274E+06,   0.19274477E+08,   0.00000000E+00,   0.52930615E-09,
    44.996,   1,  0.10569744E+08,   0.26794801E+07,  -0.30460576E+08,  -0.76446662E+07,  -0.50358658E+06,  -0.31228584E+06,   0.20023169E+08,   0.00000000E+00,   0.52985729E-09,
    45.996,   1,  0.10842655E+08,   0.26794801E+07,  -0.31124400E+08,  -0.76561886E+07,  -0.50654278E+06,  -0.31763830E+06,   0.20578332E+08,   0.00000000E+00,   0.50754892E-09,
    46.996,   1,  0.11087323E+08,   0.26794801E+07,  -0.31779331E+08,  -0.76673481E+07,  -0.50694590E+06,  -0.28337060E+06,   0.21078335E+08,   0.00000000E+00,   0.51128428E-09,
    47.998,   1,  0.11318326E+08,   0.26842404E+07,  -0.32427008E+08,  -0.76791030E+07,  -0.50750469E+06,  -0.17238050E+06,   0.21565214E+08,   0.00000000E+00,   0.50203674E-09,
    49.000,   1,  0.11528770E+08,   0.28016630E+07,  -0.33068992E+08,  -0.76908386E+07,  -0.51266871E+06,  -0.21601073E+05,   0.22044344E+08,   0.00000000E+00,   0.51850601E-09,
    49.996,   1,  0.11722321E+08,   0.29032177E+07,  -0.33709779E+08,  -0.77017601E+07,  -0.51623643E+06,   0.97445172E+05,   0.22497289E+08,   0.00000000E+00,   0.55359030E-09,
    50.999,   1,  0.11967948E+08,   0.30158799E+07,  -0.34358399E+08,  -0.77133814E+07,  -0.51883791E+06,   0.14772520E+06,   0.23058087E+08,   0.00000000E+00,   0.58110585E-09,
    51.996,   1,  0.12300570E+08,   0.30285742E+07,  -0.35010794E+08,  -0.77252060E+07,  -0.51883791E+06,   0.15823660E+06,   0.23816589E+08,   0.00000000E+00,   0.67680486E-09,
