Evaluations	Best_Fitness
32	[1.6746482334437203, 10.09321967892789, 1.8730989396970552]
64	[1.4465868504100712, 9.387333613655146, 1.1520539852670093]
96	[1.4465868504100712, 9.387333613655146, 1.1520539852670093]
128	[1.4465868504100712, 9.387333613655146, 1.1520539852670093]
160	[1.4465868504100712, 9.387333613655146, 1.1520539852670093]
192	[1.369980518658974, 8.884677914166327, 1.8554904020205953]
224	[1.369980518658974, 8.884677914166327, 1.8554904020205953]
256	[1.465630284602325, 8.626252818896598, 2.015347937201342]
288	[1.465630284602325, 8.626252818896598, 2.015347937201342]
320	[1.3118754707274538, 9.26213514187699, 1.1334096003592826]
352	[1.3118754707274538, 9.26213514187699, 1.1334096003592826]
384	[1.3248313149853612, 9.247486237286761, 1.0357201269548568]
416	[1.3248313149853612, 9.247486237286761, 1.0357201269548568]
448	[1.3248313149853612, 9.247486237286761, 1.0357201269548568]
480	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
512	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
544	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
576	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
608	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
640	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
672	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
704	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
736	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
768	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
800	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
832	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
864	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
896	[1.5520025654620517, 8.563457834128988, 1.6033612003462276]
928	[1.559570812408205, 8.639985868616087, 1.4926473059957535]
960	[1.559570812408205, 8.639985868616087, 1.4926473059957535]
992	[1.559570812408205, 8.639985868616087, 1.4926473059957535]
1024	[1.559570812408205, 8.639985868616087, 1.4926473059957535]
1056	[1.559570812408205, 8.639985868616087, 1.4926473059957535]
1088	[1.3516716612668513, 8.775076314277742, 2.0025943403555715]
1120	[1.3516716612668513, 8.775076314277742, 2.0025943403555715]
1152	[1.3516716612668513, 8.775076314277742, 2.0025943403555715]
1184	[1.3516716612668513, 8.775076314277742, 2.0025943403555715]
1216	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1248	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1280	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1312	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1344	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1376	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1408	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1440	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1472	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1504	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1536	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1568	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1600	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1632	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1664	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
1696	[1.2916342229956383, 9.158423345303504, 1.0070654100671759]
